year,hpi,rpi,cpi,wage_eur,price_per_m2,rent_per_m2_month,purchase_price,annual_rent,price_to_income,rent_burden,years_to_down_payment,years_to_full_purchase
2015,100.0,100.0,95.8,27800.0,2400.0,11.0,192000.0,10560.0,6.906474820143885,0.37985611510791367,8.854454897620364,44.27227448810182
2016,107.5,104.2,95.6,28500.0,2580.0,11.462,206400.0,11003.52,7.242105263157895,0.3860884210526316,9.284750337381917,46.42375168690958
2017,115.8,110.8,97.7,29400.0,2779.2,12.188,222336.0,11700.480000000001,7.562448979591837,0.3979755102040817,9.695447409733124,48.477237048665614
2018,124.6,120.5,99.2,30100.0,2990.3999999999996,13.255,239231.99999999997,12724.800000000001,7.947906976744185,0.4227508305647841,10.18962432915921,50.94812164579606
2019,128.9,127.4,100.0,30900.0,3093.6000000000004,14.014000000000001,247488.00000000003,13453.440000000002,8.009320388349515,0.4353864077669904,10.268359472242967,51.34179736121484
2020,130.4,129.6,99.5,31600.0,3129.6000000000004,14.256,250368.00000000003,13685.76,7.923037974683545,0.433093670886076,10.157740993184031,50.78870496592016
2021,134.7,129.9,100.0,32400.0,3232.7999999999997,14.289000000000001,258623.99999999997,13717.440000000002,7.982222222222221,0.42337777777777785,10.233618233618232,51.16809116809116
2022,144.2,136.1,108.4,33500.0,3460.7999999999997,14.971,276864.0,14372.16,8.264597014925373,0.4290197014925373,10.595637198622274,52.97818599311137
2023,150.1,144.8,112.1,34800.0,3602.3999999999996,15.928,288192.0,15290.880000000001,8.281379310344828,0.43939310344827587,10.617152961980548,53.08576480990274
2024,158.6,150.7,114.6,36100.0,3806.3999999999996,16.576999999999998,304512.0,15913.919999999998,8.435235457063712,0.4408288088642659,10.814404432132964,54.072022160664815
2025,166.3,156.2,116.5,37200.0,3991.2000000000003,17.182,319296.0,16494.72,8.583225806451614,0.44340645161290326,11.00413564929694,55.02067824648469
